52 54 50
4.81423e-05 52 54 51
6.6212e-05 52 54 52
5.37123e-05 52 54 53
7.98485e-05 52 54 54
8.58502e-05 52 54 55
0.000115276 52 54 56
0.000132758 52 54 57
0.000117262 52 54 58
0.000118948 52 54 59
0.000140854 52 54 60
0.000161014 52 54 61
0.000145477 52 54 62
0.000140769 52 54 63
0.000133451 52 54 64
0.000133279 52 54 65
0.000148661 52 54 66
0.000123952 52 54 67
0.000125816 52 54 68
0.000106158 52 54 69
8.99434e-05 52 54 70
9.59781e-05 52 54 71
7.04432e-05 52 54 72
8.25621e-05 52 54 73
5.75995e-05 52 54 74
3.91704e-05 52 54 75
2.27098e-05 52 54 76
-7.86472e-06 52 54 77
2.5818e-06 52 54 78
-1.64639e-05 52 54 79
-1.97134e-05 52 54 80
-4.70616e-05 52 54 81
-8.15085e-05 52 54 82
-9.43524e-05 52 54 83
-0.000118523 52 54 84
-0.000111111 52 54 85
-0.000125903 52 54 86
-0.00013602 52 54 87
-0.000154663 52 54 88
-0.000184332 52 54 89
-0.000193632 52 54 90
-0.000218496 52 54 91
-0.000213902 52 54 92
-0.000224259 52 54 93
-0.000220408 52 54 94
-0.000222732 52 54 95
-0.000233784 52 54 96
-0.000233835 52 54 97
-0.000253387 52 54 98
-0.000242401 52 54 99
-0.000247595 52 54 100
-0.000217524 52 54 101
-0.00019935 52 54 102
-0.00016301 52 54 103
-0.000134404 52 54 104
-0.000110287 52 54 105
-8.24795e-05 52 54 106
-7.23756e-05 52 54 107
-4.27364e-05 52 54 108
-3.61078e-05 52 54 109
-1.91422e-06 52 54 110
6.48671e-06 52 54 111
3.89104e-05 52 54 112
4.5919e-05 52 54 113
6.76007e-05 52 54 114
7.09539e-05 52 54 115
7.97639e-05 52 54 116
8.23171e-05 52 54 117
8.27653e-05 52 54 118
8.96833e-05 52 54 119
8.7305e-05 52 54 120
0.000101177 52 54 121
9.90746e-05 52 54 122
0.000118047 52 54 123
0.000115888 52 54 124
0.000135618 52 54 125
0.000130109 52 54 126
0.000144499 52 54 127
0.000132414 52 54 128
0.000136848 52 54 129
0.000116795 52 54 130
0.000110874 52 54 131
8.60103e-05 52 54 132
7.43276e-05 52 54 133
5.08296e-05 52 54 134
4.00219e-05 52 54 135
2.3585e-05 52 54 136
1.73823e-05 52 54 137
9.94192e-06 52 54 138
8.29958e-06 52 54 139
7.10596e-06 52 54 140
6.83361e-06 52 54 141
7.73016e-06 52 54 142
5.02727e-06 52 54 143
4.34003e-06 52 54 144
-3.2404e-06 52 54 145
-7.97434e-06 52 54 146
-2.12672e-05 52 54 147
-3.0099e-05 52 54 148
-4.7901e-05 52 54 149
-5.93651e-05 
